sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,k,topk_size_actual,n_positive_available,p_suf_target,p_nec_target,sufficiency_score,necessity_score,answer_suf,answer_nec,answer_suf_matches_target,target_lost_in_necessity,topk_n_audio,topk_n_text,topk_audio_fraction,topk_text_fraction,topk_is_multimodal,topk_is_unimodal_audio,topk_is_unimodal_text
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,1,1,11,0.8870143638345397,0.86181168537327,1.0068740389772968,0.03296167603326126,A,A,True,False,1,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,2,2,11,0.7676230122518163,0.7065725281408248,0.8181623564597588,0.27833491425848794,A,A,True,False,2,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,3,3,11,0.7667524214015281,0.7093643340794471,0.816786288076544,0.27392214575427326,A,A,True,False,3,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,4,4,11,0.821933285133156,0.6843998765525573,0.9040059526462293,0.31338132533959523,A,A,True,False,4,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,5,5,11,0.8530453534774645,0.7344461025121564,0.9531821340531972,0.2342775428688431,A,A,True,False,5,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,6,6,11,0.7558821525146319,0.7779561648357725,0.7996045851820683,0.16550491437704293,A,A,True,False,6,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,7,7,11,0.7583374052844918,0.7543897333428993,0.8034853929211874,0.2027543539637369,A,A,True,False,7,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,8,8,11,0.7378927696599993,0.7104489440920414,0.77117030865411,0.2722077956138427,A,A,True,False,8,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,9,9,11,0.8052331059644557,0.7107576059612735,0.8776094099528823,0.2717199202367771,A,A,True,False,9,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,10,10,11,0.8066309795768218,0.7344461025121564,0.8798189090316635,0.2342775428688431,A,A,True,False,10,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,11,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,12,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,13,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,14,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,15,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI,16,11,11,0.543972173182282,0.6567074074119763,0.464656632822584,0.3571524392042636,A,A,True,False,11,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI_balanced,1,1,11,0.8870143638345397,0.86181168537327,1.0068740389772968,0.03296167603326126,A,A,True,False,1,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI_balanced,2,2,11,0.7676230122518163,0.7065725281408248,0.8181623564597588,0.27833491425848794,A,A,True,False,2,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI_balanced,3,3,11,0.7667524214015281,0.7093643340794471,0.816786288076544,0.27392214575427326,A,A,True,False,3,0,1.0,0.0,False,True,False
q100_1247352,Instrumentation,High,percettiva,True,A,0.8826653972343637,0.8826653972343637,True,MI_balanced,4,4,11,0.821933285133156,0.6843998765525573,0.9040059526462293,0.31338132533959523,A,A,True,False,4,0,1.0,0.0,False,True,False
