sample_id,idx,question,category,difficulty,macro_family,model_answer,correct_answer_letter,correct,a_shap,t_shap,uc_audio_l1,mi_audio_l1,uc_text_l1,mi_text_l1,uc_audio_sum,mi_audio_sum,uc_text_sum,mi_text_sum,base_ucmi,uc_stem_drums,mi_stem_drums,uc_stem_bass,mi_stem_bass,uc_stem_other,mi_stem_other,uc_stem_vocals,mi_stem_vocals,uc_time_seg0,mi_time_seg0,uc_time_seg1,mi_time_seg1,uc_time_seg2,mi_time_seg2,uc_time_seg3,mi_time_seg3,uc_time_seg4,mi_time_seg4,uc_time_seg5,mi_time_seg5,uc_time_seg6,mi_time_seg6,uc_time_seg7,mi_time_seg7
q100_1247352,99,Which instrument plays the lead sound in the introduction?,Instrumentation,High,percettiva,A,A,True,0.16163410301953818,0.8383658969804618,0.5628759943318985,0.7930280214713537,3.8338978656457585,0.0,-0.3467328021068159,-0.7605106231333597,3.8338978656457585,0.0,,-0.010968664021872639,-0.04851091081654989,0.10807159611254127,0.014510527157114168,-0.4410591336558983,-0.7282584114858068,-0.002776600541586233,0.0017481720118827804,0.08220364867284735,-0.03273913807493026,0.025303994145779128,-0.09684623838325075,-0.11469174952565916,-0.08740115498607631,-0.09026352508061265,-0.07409732982575297,-0.09146403777983743,-0.1682474592016688,0.01425897378958583,-0.08610257868219096,-0.10293940382761688,-0.0799925083414086,-0.06914070250130211,-0.13508421563808104
q101_1247352,100,Which interval is played in the first two notes of the trombone?,Melody,High,analitica,A,A,True,0.1630265210608424,0.8369734789391575,0.42669072806405983,0.539024682282729,3.793648011262412,0.0,-0.24411669539055775,0.06579888088449702,2.8396717313768787,0.0,,-0.017716622550119618,-0.16751659880553244,0.09128701633675104,-0.06909630189358357,-0.3124080702947618,0.28473111963832154,-0.0052790188824273845,0.01768066194529148,0.06885071504120774,-0.020560665490162104,0.031550211371523064,-0.05388222976881512,-0.0880645451404945,-0.03053861854510012,-0.07750216172653895,0.030405284047992007,-0.05030912193187208,0.03838917086982431,0.0,0.02175663126885616,-0.08386625193891091,0.049991012102642736,-0.04477554106547211,0.03023829639925916
q102_1247352,101,What kind of saxophone plays the solo?,Instrumentation,Medium,percettiva,A,A,True,0.16309963099630997,0.83690036900369,0.4844662248764337,0.3076217981268957,3.101966041413268,0.0,-0.2617380648288421,-0.16123557660109825,2.9255232561409463,0.0,,-0.00424730955729842,-0.10049810498261971,0.11136408002379582,0.04177404413410095,-0.3653249204547604,-0.13393058238137728,-0.0035299148405790563,0.03141906662879781,0.08482868581840519,-0.05261664969490362,0.02770915365038507,-0.07500857165278972,-0.10112270331179939,0.010190627323892393,-0.0821403102588405,0.0,-0.06871908230123086,-0.0703756938158796,0.01584902180940188,0.01587480413429033,-0.09503294094578833,-0.03299665004216991,-0.043109889289375106,0.043696557146461895
q103_625206,102,What is the time signature of the tune?,Metre and Rhythm,Medium,percettiva,A,A,True,0.29245283018867924,0.7075471698113207,0.5160484525209084,0.6322977387852565,3.7548607546799175,0.0,-0.29326935392067194,-0.3348967125020459,3.6084676919179475,0.0,,0.00022779456837156847,-0.0250557712251667,0.11116175473174668,0.03762579518375712,-0.40432367342285624,-0.45854145441848454,-0.00033522979793393186,0.1110747179578482,0.060967503566834266,-0.10120043073258964,0.023872021764689926,-0.09541316149317894,-0.1081569589104488,-0.047479143166955964,-0.08612458229683784,-0.021712115855248217,-0.06256306704560514,-0.06585649318235308,0.018574866778750615,-0.0339479374606169,-0.0961913732938404,-0.01975572435168184,-0.043647764484214535,0.05046829374057865
q104_625206,103,What kind of bass is used in the song?,Instrumentation,Medium,percettiva,C,A,False,0.1255980861244019,0.8744019138755981,0.5077128486820291,0.11471066472384481,1.762406134135117,0.0,-0.30178663799041267,-0.07304573520822735,1.6419319384957662,0.0,,-0.016217945860805254,0.00291301438925317,0.10296310534580823,0.010167274623822746,-0.3724339274050588,-0.09387819996603608,-0.016097870070356828,0.007752175744732821,0.053729135699080596,0.021125540875017956,0.04205105737241874,-0.029460422532459105,-0.10688135803454393,0.007933355010539286,-0.09279528333995471,-0.015631705196465562,-0.08880953737666213,0.0023031922122296027,0.025863958307565067,0.05477895910585746,-0.09013560311009261,-0.05633871808243453,-0.04480900750822364,-0.05775593660051244
q105_625206,104,What part of the drums is used to set the beat in the intro?,Instrumentation,Medium,percettiva,D,A,False,0.1322463768115942,0.8677536231884058,0.5439762777325462,0.4336616517221609,4.039398675551734,0.0,-0.2747935422365832,-0.33809081389794,4.039398675551734,0.0,,0.0027330123342336754,-0.11540629955481628,0.11810749942091721,0.016400441573380622,-0.40938490998456467,-0.27046993325523416,0.013750855992830604,0.031384977338729865,0.06601860748455275,-0.01684029946059153,0.04898382545202944,-0.07141384336593985,-0.10143172732730237,-0.05630266699537359,-0.09011467162167722,-0.06985213388244924,-0.09095334448438788,-0.020260383247308254,0.01615679293000426,-0.05074835313547783,-0.08992569839158444,-0.02505409775344549,-0.03352732627821768,-0.02761903605735418
q106_395289,105,What kind of jazz ensemble plays the song?,Instrumentation,Low,percettiva,A,A,True,0.16376089663760895,0.836239103362391,0.43647893282351263,0.17753233827602694,1.47614564768175,0.0,-0.16069239531301774,0.0683659812314531,0.5975877487226863,0.0,,0.04354283615133965,0.0003598256531700157,0.0943504326039078,-0.035593804261335606,-0.2958486527456651,0.12258933410057,-0.0027370113226001004,-0.018989374260951326,0.09712139328509664,0.0,0.05486077833291626,-0.013258834007880416,-0.09618738088825443,-0.010208431493835733,-0.07440615889017943,0.03718412914777101,-0.048056580212660883,0.01418639648032498,0.01209301256211703,0.008513164910029779,-0.07347967259639021,0.006420712361248177,-0.03263778690566268,0.025528843833795296
q107_2083,106,What kind of rhythm is used by the bass line in the intro?,Metre and Rhythm,Medium,percettiva,C,A,False,0.15735115431348726,0.8426488456865128,0.5110212217775315,0.21816689144859144,2.172865674642976,0.0,-0.25349105975711733,-0.20426311775634629,2.0516866452285134,0.0,,-0.02759680370503582,-0.04643772460316492,0.10197413518035917,-0.027776793047160214,-0.3546593370622886,-0.13700048695214373,0.026790945829847947,0.0069518868461225704,0.0642787821058973,-0.0466474344866095,0.042370479347847254,-0.03823081323192982,-0.09057628424997692,-0.01367490842619306,-0.07186435654928738,0.017320047987998338,-0.08099616250341557,0.017149444326319003,0.012667462463879014,-0.05418012717354541,-0.08818393768257544,-0.04742482551182268,-0.041187042689485504,-0.038574501240563164
q108_2083,107,What style of jazz would you say this tune is?,Genre and Style,Low,knowledge,B,A,False,0.21722027972027969,0.7827797202797202,0.596703466127715,0.5368529086113752,4.164470966460224,0.0,-0.39671851001185204,-0.46095831786702257,-0.4050455283941112,0.0,,-7.63158437345618e-05,-0.2634541392410702,0.09999247805793146,0.014321028928698683,-0.49663467222604896,-0.23545147399812869,0.0,0.023626266443477675,0.04811639298617668,0.006113030256743899,0.0316373833534831,-0.07517341590411694,-0.11395452349633582,-0.06925293635720345,-0.08991242536267749,-0.0634640369103294,-0.08907161776602501,0.05546172944479649,-0.0011270264456234736,-0.050254724273551085,-0.11181831309591535,-0.12423217164581807,-0.07058838018493473,-0.14015579247754395
q109_2083,108,Which instrument predominates in the solos?,Instrumentation,Low,percettiva,C,A,False,0.3061728395061729,0.6938271604938272,0.4202294690151687,0.6422773608052308,5.020543927323933,0.0,-0.2103428610627079,0.36862625172360863,5.020543927323933,0.0,,-0.036368653465259485,-0.09936022487129631,0.1049433039762304,0.002009278579254866,-0.2716522983216758,0.5034425276851648,-0.007265213252003001,-0.037465329669514796,0.08265950799862375,0.13048366757765842,0.06046199436204584,0.05690072990598365,-0.09518900773347254,0.04817372351165813,-0.09184730851514689,-0.011642145361814446,-0.07204357027347202,0.07878832447856535,0.014840469425551589,0.020193925501429802,-0.07968765543743613,0.043257039244540184,-0.029537290889401473,0.0024709868655874295
q10_1093606,9,What effect is applied to the vocals in this track?,Sound Texture,Low,percettiva,B,A,False,0.19805743243243243,0.8019425675675675,0.5691129861027554,0.12945636208571842,3.9834293708167943,0.0,-0.39884397745828315,-0.09804246204456324,1.4300781582679654,0.0,,-0.019263673733960186,-0.07210363608917683,0.08513450432223608,-0.041645775975964,-0.4511487615562596,0.00827950074813208,-0.013566046490299487,0.007427449272445518,0.029587010506141438,-0.10306872116257185,0.029804715417218745,0.01581248951626827,-0.11264707782760879,0.0,-0.10303448971298007,0.004987958141410988,-0.10938264108227012,-0.02665813002303956,0.012341370665898162,0.023281449997798305,-0.08894854676808746,0.025237848511213613,-0.056564318656595135,-0.03763535702564301
q110_1336202,109,Which piano technique is used during this part of the song?,Performance,Medium,analitica,A,A,True,0.1431175934366454,0.8568824065633547,0.4471137933899669,0.24656995396110792,3.0487089942304237,0.0,-0.1968951714535449,-0.23086330417308903,2.9803681598361447,0.0,,0.040363439485013315,-0.0066011949237024595,0.08474587148319766,-0.054067528410254834,-0.32080076719656053,-0.1780479057331412,-0.0012037152251953495,0.007853324894009457,0.07486037948179952,-0.11082117602851957,0.055578562803372755,-0.018268996416659664,-0.07870750909447792,0.0491610066367604,-0.0805300436714366,0.008085451153622143,-0.07906092955727875,-0.2035197174404051,0.014727450480291093,-0.020276441772675756,-0.06933058888558587,0.05025957181399611,-0.03443249301022916,0.014516997880792424
q111_1336202,110,What could this music be used for?,Functional Context,Low,unknown,A,A,True,0.3608910891089109,0.6391089108910892,0.4600952859339229,0.21726328598920774,3.5461859253532504,0.0,-0.19362148588626996,-0.07518133292062043,0.5179731245296297,0.0,,0.04554259910158694,0.03598120158059859,0.08769430092223951,-0.101194612909908,-0.31157141584842996,0.03505977495369506,-0.015286970061666466,-0.04502769654500609,0.08239422613274795,-0.03544562410261976,0.05274229175831796,-0.04926083217853411,-0.08700533946324722,0.04809404217984589,-0.07800146784226408,0.026026354775797768,-0.056666669994652794,-0.018899720080119257,0.011388198146018118,-0.03238325569175064,-0.06889044167434785,0.020502756065263854,-0.04958228294884205,-0.03381505388850419
q112_1336202,111,Which instrument is used to create contrast?,Instrumentation,Medium,percettiva,C,A,False,0.315377932232841,0.684622067767159,0.42734259901196325,0.6283789504958979,2.4130678776221552,0.0,-0.1787207900043197,0.41602346191773104,1.9780750579390318,0.0,,0.03712772718204316,0.24830218661716152,0.08718317732177863,0.00396862834321423,-0.2820971815825728,0.26993039124643875,-0.0209345129255687,-0.1061777442890834,0.08950058903677446,0.1420212868831039,0.06659621524498978,0.03445530585209942,-0.09984352929548042,0.02602364547550672,-0.09776231833722845,0.011053513440228771,-0.08868197472964118,-0.0019347405160920796,0.035417679605216044,0.12821812641909255,-0.0596040628738134,0.07074352545348367,-0.024343388655136564,0.005442798910308133
