sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q100_1247352,Instrumentation,High,percettiva,True,A,0.6188756523669714,0.6188756523669714,True,MI,11,1.0,,0.7048349682953833,0.17705793398659045
q100_1247352,Instrumentation,High,percettiva,True,A,0.6188756523669714,0.6188756523669714,True,MI_balanced,11,5.0,,0.7536802423096522,0.20272151699509308
q100_1247352,Instrumentation,High,percettiva,True,A,0.6188756523669714,0.6188756523669714,True,UC_audio,11,5.0,,0.9279404181781451,0.1897270418689115
q100_1247352,Instrumentation,High,percettiva,True,A,0.6188756523669714,0.6188756523669714,True,UC_text,1,1.0,,1.0,0.0
q101_1247352,Melody,High,analitica,False,B,0.4082982908160163,0.09399560371795262,True,MI,10,1.0,,1.1414217676449405,-0.009648822027230988
q101_1247352,Melody,High,analitica,False,B,0.4082982908160163,0.09399560371795262,True,MI_balanced,10,1.0,,1.1253809081039639,-0.005457544454655516
q101_1247352,Melody,High,analitica,False,B,0.4082982908160163,0.09399560371795262,True,UC_audio,11,4.0,,0.9192956548006594,-0.029105366942775192
q101_1247352,Melody,High,analitica,False,B,0.4082982908160163,0.09399560371795262,True,UC_text,1,1.0,,1.0,0.0
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.4146616133545845,0.4146616133545845,True,MI,8,3.0,,1.4331954581679949,-0.10756716604427087
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.4146616133545845,0.4146616133545845,True,MI_balanced,8,2.0,,1.52906989020654,-0.1319872439164673
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.4146616133545845,0.4146616133545845,True,UC_audio,9,2.0,,1.4630269012135728,-0.29607774102749196
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.4146616133545845,0.4146616133545845,True,UC_text,1,1.0,,1.0,0.0
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.662253769446264,0.08419611836555409,True,MI,10,5.0,,0.6923542688387695,0.1582552478384005
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.662253769446264,0.08419611836555409,True,MI_balanced,10,5.0,,0.6923542688387695,0.1582552478384005
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.662253769446264,0.08419611836555409,True,UC_audio,13,6.0,,0.6001201753026625,0.13871085611758494
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.662253769446264,0.08419611836555409,True,UC_text,1,1.0,,1.0,0.0
q104_625206,Instrumentation,Medium,percettiva,False,B,0.7621913338726286,0.08551549764206207,True,MI,14,7.0,6.0,0.32488651590958895,0.4124185294536641
q104_625206,Instrumentation,Medium,percettiva,False,B,0.7621913338726286,0.08551549764206207,True,MI_balanced,14,6.0,5.0,0.33697597470493784,0.4273523152411809
q104_625206,Instrumentation,Medium,percettiva,False,B,0.7621913338726286,0.08551549764206207,True,UC_audio,15,,13.0,0.21316661227747366,0.3767589288527476
q104_625206,Instrumentation,Medium,percettiva,False,B,0.7621913338726286,0.08551549764206207,True,UC_text,1,1.0,,1.0,0.0
q105_625206,Instrumentation,Medium,percettiva,False,B,0.4953737293654011,0.26515445003090427,True,MI,10,3.0,8.0,0.31420395987306116,0.42122810015082524
q105_625206,Instrumentation,Medium,percettiva,False,B,0.4953737293654011,0.26515445003090427,True,MI_balanced,10,2.0,7.0,0.30214788300774453,0.46762695884015376
q105_625206,Instrumentation,Medium,percettiva,False,B,0.4953737293654011,0.26515445003090427,True,UC_audio,10,4.0,7.0,0.21971725140588685,0.1843940200331678
q105_625206,Instrumentation,Medium,percettiva,False,B,0.4953737293654011,0.26515445003090427,True,UC_text,1,1.0,,1.0,0.0
q106_395289,Instrumentation,Low,percettiva,True,A,0.7214343257355665,0.7214343257355665,True,MI,6,1.0,,-0.06599536937775788,0.15326574047748526
q106_395289,Instrumentation,Low,percettiva,True,A,0.7214343257355665,0.7214343257355665,True,MI_balanced,6,,,-0.09820880122144353,0.16359479755548684
q106_395289,Instrumentation,Low,percettiva,True,A,0.7214343257355665,0.7214343257355665,True,UC_audio,15,12.0,11.0,0.1233893919035978,0.29873375449636985
q106_395289,Instrumentation,Low,percettiva,True,A,0.7214343257355665,0.7214343257355665,True,UC_text,1,1.0,,1.0,0.0
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.38041847826396524,0.2534133386890841,True,MI,15,1.0,,0.6455008692839531,-0.19470551101988828
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.38041847826396524,0.2534133386890841,True,MI_balanced,15,1.0,,0.5619971041670081,-0.26485215701969583
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.38041847826396524,0.2534133386890841,True,UC_audio,6,6.0,,0.28443668643531034,0.11732578790438981
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.38041847826396524,0.2534133386890841,True,UC_text,1,1.0,,1.0,0.0
q108_2083,Genre and Style,Low,knowledge,False,B,0.8320268318588382,0.16383579727616213,True,MI,5,1.0,,1.1272654582892714,-0.07214839774353866
q108_2083,Genre and Style,Low,knowledge,False,B,0.8320268318588382,0.16383579727616213,True,MI_balanced,5,1.0,,1.1272654582892714,-0.07214839774353866
q108_2083,Genre and Style,Low,knowledge,False,B,0.8320268318588382,0.16383579727616213,True,UC_audio,10,1.0,,1.1709406103495168,-0.04385945775679979
q108_2083,Genre and Style,Low,knowledge,False,B,0.8320268318588382,0.16383579727616213,True,UC_text,1,1.0,,1.0,0.0
q109_2083,Instrumentation,Low,percettiva,True,A,0.4039766976308044,0.4039766976308044,True,MI,11,7.0,7.0,0.7234860319692845,0.42938837597745766
q109_2083,Instrumentation,Low,percettiva,True,A,0.4039766976308044,0.4039766976308044,True,MI_balanced,11,6.0,6.0,0.927863563886871,0.47263653205267303
